ranking,sector,ticker1,ticker2,corr_px,corr_r,corr_px**2,corr_r**2,corr**2_sum,name1,name2,corr**2_w_sum
187,Industrials,294870_KS,KFY_UN,-0.587737534,0.554934144,0.345435409,0.307951905,0.653387314,Hyundai Development Company,Korn Ferry International,0.315448606
193,Industrials,294870_KS,CMI_UN,-0.582374171,0.556017734,0.339159676,0.30915572,0.648315396,Hyundai Development Company,Cummins Inc,0.315156511
204,Industrials,294870_KS,WCC_UN,-0.558894388,0.559395093,0.312362937,0.31292287,0.625285807,Hyundai Development Company,Wesco International Inc,0.312810883
231,Industrials,294870_KS,CARR_UN,-0.561696041,0.553842079,0.315502442,0.306741048,0.622243491,Hyundai Development Company,Carrier Global Corporation,0.308493327
232,Industrials,KFY_UN,375500_KS,-0.588305917,0.546592236,0.346103852,0.298763072,0.644866925,Korn Ferry International,Dl E&C Ltd,0.308231228
300,Financials,THG_UN,024110_KS,-0.52603358,0.550031521,0.276711328,0.302534675,0.579246002,Hanover Insurance Group Inc,Industrial Bank of Korea,0.297370006
310,Financials,THG_UN,138930_KS,-0.407399781,0.572609208,0.165974581,0.327881305,0.493855886,Hanover Insurance Group Inc,BNK Financial Group Inc,0.29549996
328,Financials,HMN_UN,316140_KS,-0.50105252,0.551109005,0.251053628,0.303721135,0.554774763,Horace Mann Educators Corp,Woori Financial Group Inc,0.293187634
384,Industrials,AWI_UN,294870_KS,-0.570955258,0.527680514,0.325989907,0.278446725,0.604436632,Armstrong World Industries Inc,Hyundai Development Company,0.287955361
386,Consumer Discretionary,SPWH_UW,011210_KS,-0.458247041,0.554219446,0.209990351,0.307159194,0.517149545,Sportsmans Warehouse Holdings Inc,HYUNDAI WIA Corporation,0.287725425
396,Industrials,HRI_UN,294870_KS,-0.453108901,0.553976857,0.205307676,0.306890358,0.512198034,Herc Holdings Inc,Hyundai Development Company,0.286573822
409,Financials,HBCP_UW,316140_KS,-0.576717523,0.523323152,0.332603102,0.273867121,0.606470223,Home Bancorp Inc,Woori Financial Group Inc,0.285614317
524,Financials,HMN_UN,016360_KS,-0.560127576,0.519194943,0.313742901,0.269563388,0.58330629,Horace Mann Educators Corp,"Samsung Securities Co.,Ltd",0.278399291
574,Industrials,294870_KS,CAT_UN,-0.497462489,0.530518784,0.247468928,0.28145018,0.528919107,Hyundai Development Company,Caterpillar Inc,0.27465393
599,Industrials,009540_KS,PBI_UN,-0.593114585,0.50355236,0.351784911,0.253564979,0.605349891,HD Korea Shipbuilding & Offshore Engineering Co Lt,Pitney Bowes Inc,0.273208965
600,Industrials,ACM_UN,294870_KS,-0.581171528,0.506736369,0.337760345,0.256781748,0.594542093,AECOM,Hyundai Development Company,0.272977467
666,Industrials,CARR_UN,009540_KS,-0.574911484,0.503420572,0.330523215,0.253432272,0.583955487,Carrier Global Corporation,HD Korea Shipbuilding & Offshore Engineering Co Lt,0.268850461
690,Industrials,HI_UN,028670_KS,-0.486032762,0.524076485,0.236227846,0.274656162,0.510884007,Hillenbrand Inc,"Pan Ocean Co., Ltd",0.266970499
703,Industrials,TPIC_UQ,294870_KS,-0.511418432,0.517006096,0.261548812,0.267295303,0.528844115,"TPI Composites, Inc.",Hyundai Development Company,0.266146005
765,Industrials,WIRE_UW,294870_KS,-0.486642101,0.518976546,0.236820535,0.269336656,0.506157191,Encore Wire Corp,Hyundai Development Company,0.262833432
927,Industrials,294870_KS,MMM_UN,-0.402183826,0.526867,0.16175183,0.277588836,0.439340666,Hyundai Development Company,3M,0.254421435
936,Financials,000810_KS,MSBI_UW,-0.593206193,0.479356723,0.351893588,0.229782868,0.581676456,"Samsung Fire & Marine Insurance Co., Ltd",Midland States Bancorp Inc,0.254205012
962,Industrials,GXO_UN,028670_KS,-0.581288233,0.481576868,0.337896009,0.23191628,0.569812289,"GXO Logistics, Inc.","Pan Ocean Co., Ltd",0.253112226
973,Industrials,GIC_UN,375500_KS,-0.434713837,0.517882648,0.18897612,0.268202437,0.457178557,Global Industrial Company,Dl E&C Ltd,0.252357174
