Ticker,Bloomberg,MySQL,Name,Sector,Industry_Group,Industry,Sub_Industry,Description
000080,000080 KS,000080_KS,"HITEJINRO Co., Ltd",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,"Hite Jinro Co., Ltd. specializes in manufacturing Soju, vodka-like distilled Korean liquor. The Company also produces and sells other alcoholic beverages, such as wine, whiskey, and ginseng liquors as well as non-alcoholic beverages including mineral water and soft drinks. In addition, Jinro also provides information processing and financial services as well as construction services."
000100,000100 KS,000100_KS,Yuhan Corporation,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Yuhan Corporation manufactures and markets various pharmaceutical products on its own and through joint ventures with other global pharmaceutical companies. The Company also produces personal care products, dietary supplements, and veterinary medicines."
000120,000120 KS,000120_KS,CJ Logistics Corporation,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics,"CJ Logistics Corporation provides logistics services. The Company provides land transportation, maritime transportation, harbor unloading, cargo storage, international logistics processing, and other services. CJ Logistics also provides internet home shopping services. CJ Logistics serves customers worldwide."
000150,000150 KS,000150_KS,Doosan Corporation,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Doosan Co., Ltd operates as a diversified manufacturing and service company. The Company conducts electronic components production, logistics equipment manufacturing, information technology consulting, and other businesses. Doosan provides services worldwide."
000210,000210 KS,000210_KS,"Daelim Industrial Co., Ltd",Materials,Materials,Chemicals,Commodity Chemicals,"DL Holdings Co., Ltd. provides civil engineering, architectural, and plant construction services. The Company constructs bridges, highways, tunnels, harbors, and governmental buildings. DL also manufactures petrochemical products , including polyester, benzene, butane, and methyl tertiary butyl ether (MTBE)."
000240,000240 KS,000240_KS,"Hankook Tire Worldwide Co., Ltd",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hankook & Company Co., Ltd. operates as a holding company. The Company operates batteries manufacturing, leasing, management consulting, tires production, and other businesses. Hankook provides services worldwide."
000270,000270 KS,000270_KS,Kia Motors Corporation,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,"Kia Corporation manufactures, sells, and exports passenger cars, mini-buses, trucks and commercial vehicles. The Company also manufactures auto-parts and tools using hybrid electric and fuel cell technology. Kia markets its products worldwide."
000660,000660 KS,000660_KS,"SK hynix, Inc",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,"SK hynix Inc. provides products and services for the electronic components industries. The Company manufactures semiconductors such as dynamic random access memory (DRAM), NAND flash memory, and static random access memory (SRAM) chips."
000670,000670 KS,000670_KS,Young Poong Corporation,Materials,Materials,Metals & Mining,Diversified Metals & Mining,"Young Poong Corporation produces and markets non-ferrous metals, such as zinc ingots, sulfate, and cadmium.  The Company also generates income from leasing buildings."
000720,000720 KS,000720_KS,"Hyundai Engineering & Construction Co., Ltd",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,"Hyundai Engineering & Construction Co., Ltd., a general construction company, provides civil engineering, architectural, industrial, and electrical engineering services.  The Company constructs roadways, dams, bridges, ports, industrial plants, apartment complexes, and cultural facilities."
000810,000810 KS,000810_KS,"Samsung Fire & Marine Insurance Co., Ltd",Financials,Insurance,Insurance,Property & Casualty Insurance,"Samsung Fire & Marine Insurance Co., Ltd. provides insurance services. The Company offers auto, fire, marine, casualty, health, leisure, and retirement products and services. Samsung Fire & Marine Insurance serves customers in South Korea."
000880,000880 KS,000880_KS,Hanwha Corporation,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Hanwha Corporation imports and exports petrochemicals, machinery, automotives, electronics, and steel.  The Company also produces explosives for the defense and construction industries.  In addition, Hanwha manufactures automotive airbag inflators and telecommunication equipment, such as wireless phones and provides financial services through its subsidiaries."
000990,000990 KS,000990_KS,"DB Hitek Co., Ltd",Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors,"DB HiTek Co., Ltd. manufactures and distributes semiconductor products. The Company produces cosf efficient cmos image sensor, lcd driver ic devices, and other related products. DB HiTek markets its products worldwide."
001040,001040 KS,001040_KS,CJ Corporation,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"CJ Corporation operates as an investment holding company. The Company, through its subsidiaries, manufactures and distributes processed food products. CJ also operates bio business, television home shopping, global K-Pop broadcasting station, logistics business, movie theater, and other businesses."
001120,001120 KS,001120_KS,LG International Corp,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,"LX INTERNATIONAL CORP. is a commodity trading and mining company.  The Company develops and trades coal, oil, gas, non-ferrous metals, palm oil, and renewable energy. LX INTERNATIONAL also trades IT related component/equipment, petrochemical and steel product."
001230,001230 KS,001230_KS,Dongkuk Steel Mill Company Limited,Materials,Materials,Metals & Mining,Steel,"Dongkuk Holdings Co.,Ltd. manufactures and distributes steel products.  The Company produces thick plate, reinforcing bar, steel plate, section steel, angle, channel, flat iron, and other related products. Dongkuk Holdings markets its products throughout South Korea."
001440,001440 KS,001440_KS,"Taihan Electric Wire Co., Ltd",Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"Taihan Electric Wire Co., Ltd. manufactures a wide range of cables and wires, such as power, communications, copper rod, and enameled cables and wires.  The Company also produces stainless steel sheets and aluminum products including coils, sheets, and plates.  In addition, Taihan Electric offers information and communications equipment, such as optical transmission and network systems."
